Designator,Mid X,Mid Y,Rotation,Layer
C1,132.9375,-59.4,180.0,top
C10,97.92,-140.693333,180.0,top
C11,111.055354,-129.0,180.0,top
C12,114.09,-137.106666,180.0,top
C13,114.92,-140.693333,180.0,top
C14,77.034646,-76.5,0.0,top
C15,66.7375,-85.4,180.0,top
C16,63.702854,-76.5,180.0,top
C17,128.055354,-129.0,180.0,top
C18,131.09,-137.106666,180.0,top
C19,131.92,-140.693333,180.0,top
C2,63.92,-140.693333,180.0,top
C3,77.055354,-129.0,180.0,top
C4,60.055354,-129.0,180.0,top
C5,63.09,-137.106666,180.0,top
C6,80.09,-137.106666,180.0,top
C7,80.92,-140.693333,180.0,top
C8,94.055354,-129.0,180.0,top
C9,97.09,-137.106666,180.0,top
D1,61.875,-119.9,180.0,top
D2,78.875,-119.9,180.0,top
D3,95.875,-119.9,180.0,top
D4,112.875,-119.9,180.0,top
D5,132.2375,-75.765,0.0,top
D6,77.165,-65.4,0.0,top
D7,129.875,-119.9,180.0,top
F1,68.44,-115.8875,90.0,top
F2,85.44,-115.8875,90.0,top
F3,102.44,-115.8875,90.0,top
F4,119.44,-115.8875,90.0,top
F5,63.8,-59.3,270.0,top
F6,136.44,-115.8875,90.0,top
J1,59.78,-47.085002,0.0,top
J10,106.1,-145.700002,0.0,top
J11,90.74,-40.970002,90.0,top
J12,102.86,-40.970002,90.0,top
J13,115.225,-40.970002,90.0,top
J14,105.4,-89.750002,0.0,top
J15,88.2,-89.750002,0.0,top
J16,88.2,-50.550002,0.0,top
J17,105.4,-50.550002,0.0,top
J18,131.8,-145.700002,0.0,top
J19,123.1,-145.700002,0.0,top
J2,133.82,-47.085002,0.0,top
J20,56.5,-111.375002,0.0,top
J21,78.365,-40.970002,90.0,top
J22,78.365,-51.7,90.0,top
J3,63.8,-145.700002,0.0,top
J4,55.1,-145.700002,0.0,top
J5,80.8,-145.700002,0.0,top
J6,72.1,-145.700002,0.0,top
J7,97.8,-145.700002,0.0,top
J8,89.1,-145.700002,0.0,top
J9,114.8,-145.700002,0.0,top
Q4,65.26,-93.4,180.0,top
R3,133.8575,-70.28,270.0,top
R4,133.8575,-64.465,270.0,top
R5,73.8,-85.4,0.0,top
R6,133.1075,-80.5,180.0,top
